,Close,High,Low,Open,Volume,TP,MA,EMA,STD,RSI,ROC,ATR,CCI,%K,%D,plus_di,minus_di,ADMI,AO,WIL_R,OBV
2013-02-18,6318.2001953125,6330.2001953125,6306.7998046875,6328.2998046875,459974900,6318.400065104167,6300.92138671875,6297.128076277677,30.090836542667645,59.43570705135964,-0.0033127207459906975,60.750069754464285,43.08121250675258,60.416666666666664,64.24589611235119,23.97204179476235,10.658672873531943,45.43046256249666,123.27412109375018,-39.58333333333333,6635581400
2013-02-19,6379.10009765625,6385.10009765625,6304.39990234375,6318.2001953125,672871900,6356.200032552083,6304.92138671875,6308.13118783452,32.43651478079187,65.24212550813222,0.00885641522909897,63.78578404017857,118.59260705180583,96.4370525656527,74.42735271533662,27.743536400502595,9.655102200997268,44.862179386671066,121.07003676470595,-3.5629474343473,7308453300
2013-02-20,6395.39990234375,6412.39990234375,6368.2001953125,6379.10009765625,756333900,6392.0,6313.385672433035,6319.834779732496,39.41093469479168,66.61936510686566,0.018878746171458453,63.642892020089285,157.18041337759146,91.31322153830033,82.72231359020657,28.970705231976574,8.929750630188915,45.20208079077261,118.09175953584509,-8.68677846169968,8064787200
2013-02-21,6291.5,6395.39990234375,6278.0,6395.39990234375,733017000,6321.63330078125,6309.407087053572,6316.037755775967,39.31663441820088,52.3735907021338,-0.008775553566694716,66.42145647321429,24.622761552307793,38.22172542933634,75.32399984442979,25.628158859811844,18.322816692819615,45.646127636216455,104.97942038143356,-61.77827457066366,7331770200
2013-02-22,6335.7001953125,6347.2998046875,6291.5,6291.5,702828200,6324.833333333333,6315.757114955357,6318.670865515,38.34074664005749,56.62309138210109,0.014231349395620227,62.50718470982143,19.520441312210504,60.80744923189776,63.44746539984481,25.153820345820034,17.98368902899647,43.15169556139707,98.48596622242621,-39.19255076810224,8034598400
2013-02-25,6355.39990234375,6390.10009765625,6324.0,6335.7001953125,994472400,6356.5,6320.942836216518,6323.586598056056,38.16988909815941,58.4044729609891,0.011555373386572684,63.485770089285715,79.69717271036536,70.8737428048893,56.634305822041135,28.006498338689955,16.36123734823985,40.96250194295109,97.04944278492621,-29.126257195110693,9029070800
2013-02-26,6270.39990234375,6355.39990234375,6258.60009765625,6355.39990234375,772273300,6294.799967447917,6319.164271763393,6316.471798076488,38.13858040991638,49.04526157717798,-0.00395531636558587,66.40719168526786,-54.70980592094231,27.439850496390903,53.040347511059316,24.74944572568252,21.90686256830827,39.61191281261356,70.25941233915455,-72.5601495036091,8256797500
2013-02-27,6325.89990234375,6335.89990234375,6269.2998046875,6270.39990234375,707922300,6310.366536458333,6326.128557477678,6317.732447510755,33.52886394832194,54.20545131856396,0.015654100817018943,64.28578404017857,-41.57271467294716,52.98913043478261,50.43424124535428,23.640666151599675,20.925431225675222,36.843332496858565,49.75941521139703,-47.01086956521739,8964719800
2013-02-28,6360.7998046875,6372.0,6325.89990234375,6325.89990234375,909994200,6352.89990234375,6333.04997907366,6323.488885281358,28.606777216486595,57.14447969190198,0.015469580270191286,64.02863420758929,58.84830437885362,67.77010232246062,49.39969441787804,26.184777255770353,19.43327909455889,34.382284287736105,56.58409064797797,-32.229897677539384,9874714000
2013-03-01,6378.60009765625,6391.7001953125,6308.60009765625,6360.7998046875,1106390100,6359.633463541667,6340.29997907366,6330.852705179368,24.88650048604779,58.60375932337372,0.016169887116807037,66.92864118303571,60.43438703546614,78.02350610511077,66.260912954118,25.377949989233826,19.13372203086495,32.79450418699675,57.202300666360316,-21.97649389488923,10981104100
